Sample,SiO2 (wt%),TiO2 (wt%),Al2O3 (wt%),Fe2O3 (T) (wt%),MnO (wt%),MgO (wt%),CaO (wt%),Na2O (wt%),K2O (wt%),P2O5 (wt%),BaXRF (ppm),Sc (ppm),Zn (ppm),Ga (ppm),Rb (ppm),Sr (ppm),Y (ppm),Zr (ppm),Nb (ppm),Ba (ICP) (ppm),La (ppm),Ce (ppm),Pr (ppm),Nd (ppm),Sm (ppm),Eu (ppm),Gd (ppm),Tb (ppm),Dy (ppm),Ho (ppm),Er (ppm),Tm (ppm),Yb (ppm),Lu (ppm),Hf (ppm),Pb (ppm),Th (ppm),U (ppm)
YP095,75.30,0.28,12.36,3.25,0.06,0.06,1.08,3.04,4.54,0.03,1952,4.1,89,21,115,162,40,423,31,1796,58,116,12.6,48,9.7,3.7,9.2,1.46,7.9,1.51,4.5,0.62,4.0,0.69,11,41,16,4.4
YP105,76.84,0.12,12.35,1.62,0.02,0.04,0.43,2.85,5.72,0.01,449,3,70,18.5,138,18.6,50,210,32,411,70,134,15.1,55,11.4,0.89,11.3,1.76,9.6,1.86,5.7,0.77,4.8,0.89,7.2,42,20.0,6.0
YP282,75.78,0.25,12.77,2.80,0.05,0.05,0.81,2.72,4.76,0.03,2559,3.2,83,19.0,101,108,39,379,28,2157,59,110,12.6,47,9.7,3.3,9.2,1.40,7.7,1.50,4.4,0.61,3.9,0.71,9.5,35,15,4.0
YP340,76.48,0.23,11.93,2.55,0.05,0.04,0.78,2.82,5.10,0.02,2377,2.8,76,17.5,111,100,36,357,27,1981,52,103,11.5,43,8.8,2.9,8.5,1.35,7.2,1.39,4.3,0.58,3.6,0.70,9.1,37,14,4.2
YP420,76.86,0.19,11.79,2.22,0.04,0.07,0.72,2.66,5.41,0.02,1983,2.9,71,19.0,134,65,43,310,28,1823,63,120,13.4,49,10.0,2.4,9.8,1.51,8.2,1.59,4.9,0.65,4.0,0.71,8.4,33,16,4.6
YP365,77.47,0.14,11.84,1.67,0.02,0.01,0.36,3.56,4.91,0.02,800,3,73,21,165,27,19,245,29,786,26,84,6.5,25,5.5,1.49,5.4,0.87,4.8,0.93,2.8,0.40,2.7,0.39,7.4,36,19.4,4.1
YP366,77.64,0.13,12.00,1.32,0.01,-0.00,0.35,3.55,4.97,0.02,470,2,63,17.8,126,16.9,14.5,197,30,409,35,54,7.6,28,5.6,1.05,4.8,0.74,3.7,0.67,2.0,0.27,1.8,0.35,6.8,31,17.9,4.1
YP486,76.79,0.21,11.63,2.46,0.04,0.05,0.52,3.44,4.50,0.01,2351,3.0,88,18.7,120,120,19.5,278,25,2262,41,111,10.8,40,8.8,3.5,8.1,1.32,7.1,1.32,3.9,0.57,3.9,0.55,7.2,31,14.6,4.3
YP487,77.00,0.20,11.63,2.32,0.05,0.05,0.46,3.41,4.55,0.01,2271,2.7,62,20,137,63,25,288,26,1863,37,116,7.9,30,6.0,2.6,6.3,0.96,5.2,1.05,3.1,0.44,2.9,0.43,7.7,32,17.4,4.1
YP502,77.23,0.16,11.72,1.98,0.06,0.02,0.35,3.43,4.80,0.01,1520,2.8,62,19.1,143,47,28,280,28,1479,41,114,9.2,34,7.0,2.1,6.6,1.04,5.6,1.09,3.3,0.45,3.0,0.50,7.8,29,17.1,4.2
YP509,77.18,0.14,11.89,1.83,0.03,0.01,0.35,3.53,4.86,0.01,939,2.6,68,21,162,32,12.2,242,28,940,31,122,6.9,25,4.8,1.64,4.6,0.64,3.2,0.62,1.88,0.28,2.0,0.29,7.1,34,19.4,4.5
YP561,77.30,0.18,11.76,2.14,0.03,0.02,0.33,3.24,4.99,0.01,1872,3,79,20,159,61,35,302,27,1863,55,129,12.1,45,8.7,2.6,9.3,1.39,7.2,1.43,4.1,0.57,3.6,0.53,8.2,32,17.6,5.2
YP562,77.02,0.22,11.82,2.54,0.05,0.02,0.42,3.24,4.65,0.02,2375,3.5,82,19.2,136,118,41,361,29,2279,60,117,13.1,49,9.8,3.4,9.5,1.47,7.9,1.49,4.5,0.61,3.9,0.64,9.0,30,14.9,5.0
YP564,76.64,0.17,12.23,2.13,0.02,0.01,0.37,3.30,4.89,0.03,980,4.1,63,21,166,50,42,281,30,983,70,104,14.7,55,11.2,2.2,11.6,1.76,9.0,1.70,4.9,0.64,4.1,0.6,8.1,38,21,6.3
YP603,76.93,0.19,11.77,2.29,0.04,0.01,0.39,3.48,4.58,0.02,2068,2.9,71,20,134,90,34,312,27,2111,58,119,12.0,45,8.7,3.1,9.1,1.36,7.2,1.47,4.4,0.62,4.2,0.62,8.2,35,16.9,4.2
YP081,75.68,0.10,12.81,1.84,0.04,0.14,0.68,3.34,5.35,0.021,236,1.6,75,25,211,34,79,189,66,210,74,148.84114,16.5,61,13.4,0.49,14.8,2.6,14.7,3.0,8.9,1.29,8.3,1.2,7.8,29,31,7.5
YP133,76.69,0.10,12.04,1.55,0.02,0.25,1.45,3.03,4.85,0.02,98,1.2,48,21,175,25,68,158,60,83,42,89,10.4,39,10.0,0.38,10.5,2.0,11.9,2.4,7.4,1.06,6.7,1.19,7.0,42,25,6.4
YP600,76.39,0.10,12.54,1.59,0.03,0.06,1.01,2.84,5.17,0.01,227,1.6,100,22,196,14.7,71,166,59,216,65,134,14.6,53,11.8,0.62,12.1,2.1,12.2,2.4,7.4,1.05,6.6,1.12,6.9,80,25,6.0
