Drilled depth (m),Tilt (Degrees),Distance E (m),Distance N (m),True Vertical Depth (m),Temperature (degrees C)
730,38.67,-47.12,140.11,695.172,107.286
731,38.764,-47.309,140.706,695.953,107.307
732,38.832,-47.501,141.303,696.732,107.318
733,38.888,-47.695,141.9,697.511,107.323
734,38.949,-47.891,142.497,698.289,107.314
735,39.015,-48.089,143.094,699.066,107.301
736,39.07,-48.288,143.691,699.843,107.305
737,39.11,-48.49,144.288,700.619,107.304
738,39.142,-48.694,144.885,701.395,107.306
739,39.169,-48.901,145.482,702.17,107.327
740,39.193,-49.109,146.078,702.945,107.314
741,39.21,-49.32,146.674,703.72,107.332
742,39.223,-49.532,147.27,704.495,107.363
743,39.237,-49.747,147.865,705.27,107.361
744,39.254,-49.963,148.46,706.044,107.363
745,39.268,-50.181,149.054,706.818,107.385
746,39.269,-50.4,149.647,707.593,107.397
747,39.268,-50.621,150.241,708.367,107.412
748,39.266,-50.842,150.834,709.141,107.413
749,39.265,-51.063,151.427,709.915,107.424
750,39.254,-51.285,152.019,710.689,107.426
751,39.232,-51.508,152.611,711.464,107.433
752,39.216,-51.732,153.203,712.239,107.456
753,39.226,-51.956,153.794,713.013,107.471
754,39.253,-52.18,154.385,713.788,107.486
755,39.264,-52.404,154.977,714.562,107.497
756,39.267,-52.628,155.569,715.336,107.511
757,39.284,-52.85,156.162,716.11,107.515
758,39.308,-53.072,156.755,716.884,107.53
759,39.33,-53.293,157.349,717.658,107.554
760,39.354,-53.514,157.944,718.431,107.554
761,39.378,-53.734,158.538,719.204,107.576
762,39.397,-53.955,159.133,719.977,107.592
763,39.414,-54.175,159.729,720.75,107.612
764,39.424,-54.395,160.324,721.522,107.639
765,39.418,-54.614,160.92,722.295,107.669
766,39.421,-54.833,161.516,723.068,107.692
767,39.427,-55.051,162.113,723.84,107.7
768,39.421,-55.269,162.709,724.612,107.72
769,39.411,-55.486,163.306,725.385,107.746
770,39.396,-55.703,163.903,726.158,107.755
771,39.392,-55.919,164.499,726.93,107.778
