Fault ID,Relative Fault Length,StartX,StartY,EndX,EndY,Strike
1400,0.018417,40.7480,13.4801,40.7601,13.4670,138.1721774
1401,0.005369,40.7839,13.4959,40.7850,13.4908,168.3273257
1402,0.008169,40.7870,13.4918,40.7852,13.4997,167.9094509
1403,0.006424,40.7819,13.4982,40.7807,13.5044,169.2883032
1414,0.008516,40.8067,13.5249,40.8105,13.5174,153.9092634
1415,0.014089,40.7978,13.5372,40.8056,13.5257,146.5064737
1416,0.014608,40.8008,13.5381,40.8085,13.5259,148.380505
1417,0.012809,40.8042,13.5421,40.8125,13.5327,139.5585764
1418,0.004551,40.8014,13.5314,40.8027,13.5271,163.645152
1419,0.002651,40.8033,13.5287,40.8046,13.5264,151.7479108
1420,0.002572,40.8033,13.5294,40.8045,13.5272,153.7539614
1421,0.003520,40.8036,13.5283,40.8056,13.5255,146.6424011
1422,0.001635,40.8055,13.5262,40.8062,13.5247,155.6956716
1423,0.001313,40.8047,13.5260,40.8053,13.5249,148.8929844
1424,0.001373,40.8054,13.5250,40.8061,13.5239,149.5967297
1425,0.002369,40.8060,13.5257,40.8068,13.5235,161.0050641
1426,0.001819,40.8075,13.5222,40.8083,13.5206,155.0224895
1427,0.003023,40.8076,13.5190,40.8084,13.5162,164.7132958
1428,0.002520,40.8088,13.5187,40.8094,13.5163,164.4263808
1429,0.001981,40.8080,13.5201,40.8086,13.5182,163.3106333
1430,0.003583,40.8098,13.5216,40.8115,13.5186,151.5450984
1431,0.002139,40.8060,13.5299,40.8073,13.5282,142.2399396
1432,0.001891,40.8042,13.5396,40.8052,13.5380,148.9880432
1433,0.006074,40.8033,13.5395,40.8068,13.5346,145.9509958
1434,0.003094,40.8027,13.5392,40.8044,13.5367,145.1020024
1435,0.002788,40.8078,13.5327,40.8090,13.5303,154.2982769
1436,0.007166,40.7880,13.5261,40.7849,13.5323,154.4948088
1437,0.001220,40.7872,13.5275,40.7875,13.5264,163.3684737
1438,0.001495,40.7865,13.5288,40.7871,13.5274,158.1512187
1439,0.001732,40.7861,13.5293,40.7866,13.5277,161.6946287
1440,0.001943,40.7863,13.5306,40.7867,13.5288,168.7187372
1441,0.001660,40.7865,13.5300,40.7869,13.5285,165.6017443
1442,0.001764,40.7849,13.5320,40.7858,13.5305,148.3727556
1443,0.001835,40.7845,13.5305,40.7856,13.5290,146.542966
1444,0.003871,40.7851,13.5293,40.7867,13.5258,155.808314
1445,0.001633,40.7832,13.5318,40.7843,13.5306,138.0660938
1446,0.003464,40.7837,13.5350,40.7853,13.5321,152.6431599
1447,0.001934,40.7827,13.5371,40.7834,13.5353,159.3550206
1448,0.002321,40.7832,13.5372,40.7839,13.5351,161.4160763
1449,0.004917,40.7829,13.5384,40.7801,13.5422,144.9763197
1450,0.000944,40.7802,13.5418,40.7808,13.5410,143.2968085
1451,0.001359,40.7822,13.5398,40.7827,13.5386,160.9816823
1452,0.001423,40.7830,13.5386,40.7834,13.5373,163.1266452
1453,0.001234,40.7827,13.5324,40.7833,13.5314,146.759418
1454,0.001471,40.7817,13.5338,40.7825,13.5326,147.1289275
1455,0.001522,40.7815,13.5345,40.7822,13.5331,155.7601119
1456,0.006298,40.7816,13.5344,40.7792,13.5401,157.4069637
1457,0.001311,40.7839,13.5264,40.7847,13.5254,141.9469273
1458,0.012542,40.7842,13.5254,40.7786,13.5363,153.2965251
1459,0.002874,40.7830,13.5282,40.7814,13.5306,147.1321576
1460,0.004696,40.7837,13.5297,40.7812,13.5334,146.6284933
1461,0.002420,40.7818,13.5312,40.7807,13.5333,152.8943643
1462,0.001581,40.7809,13.5316,40.7817,13.5303,149.7446231
1463,0.001165,40.7809,13.5346,40.7813,13.5335,161.5562678
1464,0.001032,40.7809,13.5350,40.7812,13.5341,158.4441396
1465,0.000839,40.7797,13.5347,40.7801,13.5340,152.8108154
1466,0.001025,40.7806,13.5341,40.7800,13.5350,146.2935931
1467,0.003432,40.7797,13.5354,40.7786,13.5385,161.2060841
1468,0.000539,40.7788,13.5376,40.7788,13.5371,177.5516148
1469,0.000696,40.7803,13.5348,40.7800,13.5354,155.7441517
1470,0.003181,40.7799,13.5355,40.7790,13.5385,162.9751243
1471,0.002652,40.7789,13.5392,40.7780,13.5416,160.6040863
1472,0.028793,40.7653,13.4311,40.7601,13.4586,169.6268021
1473,0.014561,40.7756,13.5425,40.7802,13.5289,161.8085714
1474,0.005382,40.7723,13.5345,40.7749,13.5299,150.7778952
