Date,Tmax,Tmin
19401211:0900,18.9,12.3
19401212:0900,19.6,12.4
19401213:0900,19,12.6
19401214:0900,21.4,10.6
19401215:0900,17.7,9.2
19401216:0900,17.4,11.9
19401217:0900,20.4,12.4
19401218:0900,19.2,13.7
19401219:0900,22.2,11.4
19401220:0900,17.9,10.6
19401221:0900,19.4,15.1
19401222:0900,20.6,12.2
19401223:0900,20.8,13.2
19401224:0900,17.9,14.6
19401225:0900,19.1,9.4
19401226:0900,15.7,8.7
19401227:0900,19.4,12.2
19401228:0900,20.7,14.4
19401229:0900,20.9,14.5
19401230:0900,20.8,14.4
19401231:0900,23.8,12.9
19410101:0900,17.7,9.5
19410102:0900,20.7,12.9
19410103:0900,22.3,15
19410104:0900,24.6,14.3
19410105:0900,26.4,15.3
19410106:0900,18.3,15
19410107:0900,20,16.1
19410108:0900,24.4,14.1
19410109:0900,24.8,16.1
19410110:0900,21.6,16.7
19410111:0900,21.6,15
19410112:0900,17.5,13.6
19410113:0900,17.3,12.3
19410114:0900,18.3,13.3
19410115:0900,19.8,9
19410116:0900,16.8,7.1
19410117:0900,20.8,13.3
19410118:0900,21.7,15
19410119:0900,22.7,16.1
19410120:0900,21.2,17
19410121:0900,19.6,16.1
19410122:0900,16.9,10.9
19410123:0900,16.2,11.1
19410124:0900,16.4,11.1
19410125:0900,20.9,12.2
19410126:0900,24.4,16.2
19410127:0900,26.2,16.9
19410128:0900,18.9,15.2
19410129:0900,19.6,11.7
19410130:0900,16.8,11.9
19410131:0900,20.1,11.6
19410201:0900,23.2,12.8
19410202:0900,21.7,15.2
19410203:0900,19.4,15.4
19410204:0900,21,16.7
19410205:0900,18.1,12.7
19410206:0900,20.7,8.2
19410207:0900,20,12.1
19410208:0900,20.9,13.8
19410209:0900,19.3,14.7
19410210:0900,20.6,13.7
19410211:0900,22.7,13.8
19410212:0900,19.6,15.3
19410213:0900,18.4,12.3
19410214:0900,12.8,9.6
19410215:0900,13,8.6
19410216:0900,15.2,10.1
19410217:0900,16.7,8
19410218:0900,20.8,11
19410219:0900,18.8,14
19410220:0900,17.7,14.6
19410221:0900,19,10.3
19410222:0900,18.8,10.6
19410223:0900,24.2,12.7
19410224:0900,21.6,13.9
19410225:0900,17.6,13.9
19410226:0900,18.2,14.3
19410227:0900,19.9,14.8
19410228:0900,20,12.2
19410301:0900,18.4,9.6
19410302:0900,22.6,10.6
19410303:0900,22.2,12.9
19410304:0900,20.6,12.3
19410305:0900,20.3,13.9
