Analysis,Horizon,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Rb,Sr,Zr,Nb,Ba,La,Yb,Pb,Th,U
EYS24_68_2,K,77.18,0.09,12.34,1.44,0.02,0.03,0.52,3.33,5.06,222,7.8,213,61,125,85,7.6,44,30,6.6
EYS24_7,K,77.12,0.08,12.11,1.44,0.02,0.03,0.54,3.54,5.11,217,5.9,197,58,114,79,7.5,41,30,7.7
EYS24_7_2,K,77.22,0.09,12.09,1.43,0.02,0.03,0.54,3.37,5.21,219,7.6,202,59,108,83,8.3,41,30,7.7
EYS24_70,K,76.72,0.09,12.30,1.43,0.02,0.03,0.56,3.50,5.35,224,6.5,218,59,136,86,9.5,40,29,7.8
EYS24_70_2,K,77.14,0.09,12.33,1.45,0.02,0.03,0.55,3.35,5.04,218,5.3,202,60,118,80,9.7,41,31,7.2
EYS24_71,K,77.26,0.08,11.99,1.34,0.02,0.03,0.55,3.60,5.12,222,5.8,208,58,122,82,7.6,43,29,7.8
EYS24_72,K,76.90,0.09,12.19,1.45,0.02,0.03,0.55,3.39,5.38,230,7.1,221,61,120,89,7.5,42,33,7.8
EYS18_1,L,77.33,0.09,12.36,1.36,0.02,0.03,0.57,3.24,5.01,216,6.3,215,60,125,86,9.0,39,36,7.6
EYS18_10,L,77.41,0.09,12.24,1.43,0.02,0.03,0.57,3.20,5.02,231,18.1,244,66,134,93,7.3,43,30,8.7
EYS18_10_2,L,77.28,0.09,12.11,1.45,0.02,0.03,0.58,3.30,5.15,222,6.0,229,64,136,92,9.0,40,35,7.8
EYS18_11,L,77.04,0.09,12.58,1.36,0.02,0.03,0.53,3.09,5.27,224,7.5,234,63,130,93,9.8,40,32,7.4
EYS18_11_2,L,76.62,0.09,12.57,1.39,0.02,0.03,0.57,3.38,5.34,216,7.2,223,60,128,89,9.5,37,35,7.8
EYS18_12,L,77.35,0.09,12.01,1.43,0.02,0.03,0.56,3.30,5.20,217,5.8,234,64,135,91,8.7,42,33,8.3
EYS18_12_2,L,77.25,0.09,12.06,1.35,0.02,0.03,0.50,3.54,5.15,226,7.7,232,62,124,93,7.8,37,32,6.8
EYS18_13,L,77.30,0.09,12.36,1.36,0.02,0.03,0.58,3.15,5.10,222,7.9,228,61,139,91,8.2,42,33,7.6
EYS18_14,L,77.15,0.08,12.27,1.43,0.02,0.03,0.55,3.27,5.18,224,6.5,228,62,129,93,7.6,42,33,7.4
EYS18_14_2,L,76.98,0.09,12.35,1.41,0.02,0.03,0.55,3.48,5.09,219,6.7,225,61,119,88,6.9,39,33,7.9
EYS18_15,L,76.65,0.09,12.35,1.45,0.02,0.03,0.56,3.57,5.28,212,6.9,222,61,126,89,8.3,37,33,7.2
EYS18_16,L,76.85,0.09,12.49,1.33,0.02,0.03,0.55,3.53,5.11,218,7.6,229,61,131,91,8.1,36,32,7.4
EYS18_17,L,77.16,0.09,12.02,1.41,0.02,0.03,0.52,3.46,5.28,213,6.0,223,62,122,87,7.4,38,32,7.1
EYS18_18,L,77.08,0.09,12.41,1.47,0.02,0.03,0.57,3.26,5.07,211,6.2,210,60,113,89,8.3,38,29,6.9
EYS18_19,L,77.13,0.08,12.49,1.39,0.02,0.03,0.53,3.22,5.12,220,6.3,239,66,120,93,9.0,45,33,8.2
EYS18_2,L,77.02,0.09,12.48,1.37,0.02,0.03,0.55,3.42,5.03,212,7.0,207,57,120,84,10.4,41,34,7.1
EYS18_2_2,L,77.09,0.09,12.44,1.42,0.03,0.03,0.52,3.19,5.20,214,6.2,217,59,123,81,9.3,37,32,7.5
EYS18_20,L,77.29,0.09,12.20,1.34,0.02,0.03,0.53,3.19,5.32,221,7.1,238,61,129,92,9.2,40,33,7.5
EYS18_21,L,77.23,0.09,12.42,1.32,0.02,0.03,0.54,3.33,5.02,186,7.2,240,68,111,85,8.7,32,33,8.3
EYS18_22,L,77.01,0.08,12.15,1.40,0.02,0.02,0.54,3.52,5.26,216,7.0,230,62,117,88,10.2,44,33,7.9
EYS18_23,L,77.16,0.08,12.23,1.40,0.02,0.02,0.53,3.43,5.12,214,6.4,220,60,126,83,7.6,43,31,7.5
EYS18_28,L,77.16,0.09,12.28,1.39,0.02,0.03,0.54,3.34,5.14,222,7.7,237,66,118,89,8.2,40,33,8.0
EYS18_3,L,77.36,0.09,12.32,1.35,0.02,0.03,0.57,3.08,5.18,203,6.9,207,57,126,86,8.0,42,33,8.0
EYS18_3_2,L,77.25,0.09,12.14,1.39,0.02,0.03,0.57,3.28,5.22,205,6.6,200,62,123,82,8.3,36,30,8.0
EYS18_4,L,77.58,0.09,12.05,1.40,0.02,0.03,0.54,3.16,5.12,200,5.8,202,54,119,83,8.7,42,36,8.5
EYS18_6,L,77.36,0.09,12.28,1.35,0.02,0.03,0.55,3.24,5.09,204,6.2,196,55,113,83,8.0,41,31,7.9
EYS18_7,L,77.04,0.08,12.28,1.41,0.03,0.03,0.54,3.37,5.22,200,6.0,203,54,107,82,8.3,42,32,7.6
EYS18_8,L,76.98,0.09,12.39,1.42,0.02,0.03,0.56,3.39,5.12,206,7.1,206,55,118,84,10.0,45,37,8.9
EYS18_8_2,L,76.53,0.09,12.61,1.43,0.02,0.03,0.60,3.36,5.34,224,6.7,235,65,124,93,8.6,41,36,7.9
EYS18_9,L,77.22,0.09,12.05,1.33,0.02,0.03,0.57,3.40,5.28,223,7.8,218,65,120,91,9.4,39,32,8.1
EYS72_61,M,77.11,0.00,12.17,1.34,0.00,0.00,0.55,3.54,5.28,223,5.3,219,60,124,83,8.5,39,31,7.9
EYS72_62,M,76.86,0.00,12.40,1.44,0.00,0.00,0.56,3.46,5.27,226,6.4,220,63,123,83,8.2,40,32,8.1
EYS72_62_2,M,77.06,0.00,12.33,1.43,0.00,0.00,0.54,3.41,5.23,226,7.0,225,64,130,91,8.0,41,34,8.3
EYS72_64,M,77.23,0.00,12.23,1.37,0.00,0.00,0.54,3.62,5.02,219,6.2,224,62,124,84,9.1,42,32,7.6
EYS72_66,M,76.94,0.00,12.36,1.45,0.00,0.00,0.52,3.58,5.15,225,6.2,218,62,117,86,8.0,41,32,7.6
EYS72_67,M,76.88,0.00,12.31,1.40,0.00,0.00,0.53,3.59,5.28,225,6.8,221,61,121,85,8.4,39,32,7.8
EYS72_69,M,76.90,0.00,12.41,1.43,0.00,0.00,0.52,3.56,5.18,230,6.6,234,67,121,89,8.0,43,34,7.3
EYS72_70,M,77.18,0.00,12.35,1.37,0.00,0.00,0.58,3.44,5.07,222,6.4,210,61,126,83,8.1,40,30,7.2
EYS72_71_2,M,77.51,0.00,12.20,1.38,0.00,0.00,0.56,3.28,5.08,222,6.3,231,64,142,92,8.9,44,33,7.6
EYS72_72,M,76.78,0.00,12.52,1.37,0.00,0.00,0.57,3.41,5.35,225,7.2,220,61,129,86,9.0,40,32,8.0
EYS72_74,M,77.43,0.00,12.27,1.34,0.00,0.00,0.55,3.38,5.04,225,7.3,217,62,119,85,8.7,41,31,8.0
EYS72_77,M,77.23,0.00,12.31,1.34,0.00,0.00,0.46,3.40,5.26,220,8.3,211,61,125,86,7.6,45,30,8.8
EYS72_78,M,77.06,0.00,12.33,1.36,0.00,0.00,0.54,3.54,5.18,219,6.0,209,60,113,81,7.4,41,31,8.3
EYS72_79,M,76.71,0.00,12.62,1.34,0.00,0.00,0.53,3.54,5.26,225,6.2,218,61,116,85,8.2,41,31,7.6
EYS72_82,M,77.39,0.00,12.43,1.34,0.00,0.00,0.52,3.26,5.07,226,7.0,207,62,131,87,10.6,39,32,7.2
EYS72_83,M,76.74,0.00,12.58,1.41,0.00,0.00,0.54,3.70,5.03,222,6.3,205,62,127,83,7.7,40,29,7.5
EYS72_83_2,M,77.28,0.00,12.06,1.42,0.00,0.00,0.53,3.63,5.09,223,8.4,220,61,135,90,10.4,41,32,7.6
EYS72_85,M,76.78,0.00,12.28,1.47,0.00,0.00,0.56,3.58,5.33,226,6.9,215,61,125,86,8.3,41,31,7.9
EYS72_89,M,77.18,0.00,12.42,1.37,0.00,0.00,0.54,3.16,5.33,224,6.7,217,61,124,82,9.8,41,30,7.4
EYS72_90,M,76.85,0.00,12.52,1.40,0.00,0.00,0.57,3.40,5.25,225,6.6,218,63,141,87,8.6,40,29,7.7
EYS72_91,M,76.94,0.00,12.14,1.37,0.00,0.00,0.53,3.65,5.37,224,6.4,213,61,133,87,7.9,42,33,8.0
EYS20_1,N,77.16,0.08,12.24,1.33,0.02,0.03,0.53,3.59,5.02,235,6.0,232,63,123,88,8.8,42,31,7.8
EYS20_10,N,77.30,0.08,12.25,1.37,0.02,0.03,0.56,3.28,5.11,212,7.1,222,56,127,89,8.6,39,34,7.2
EYS20_11,N,77.44,0.08,12.14,1.33,0.02,0.03,0.56,3.40,5.01,207,6.3,211,60,114,85,9.5,41,36,8.3
EYS20_12,N,76.76,0.08,12.38,1.49,0.02,0.03,0.57,3.34,5.33,200,5.9,196,55,115,83,8.8,41,33,7.8
EYS20_12_2,N,77.04,0.09,12.53,1.31,0.02,0.02,0.54,3.47,4.98,225,8.6,217,61,134,84,9.4,43,32,7.8
EYS20_15,N,76.92,0.09,12.60,1.44,0.02,0.03,0.57,3.33,4.99,204,7.3,200,54,120,77,8.5,40,34,7.1
EYS20_17,N,77.18,0.08,12.28,1.37,0.02,0.03,0.53,3.35,5.15,228,8.2,234,64,130,95,8.6,42,35,8.4
EYS20_17_2,N,77.25,0.09,12.19,1.45,0.02,0.03,0.53,3.39,5.05,229,7.2,230,63,129,97,11.3,41,36,7.8
EYS20_18,N,77.50,0.09,12.17,1.38,0.02,0.03,0.57,3.28,4.97,228,6.8,246,66,121,97,10.9,42,36,8.6
EYS20_18_2,N,76.43,0.09,12.57,1.46,0.02,0.02,0.57,3.50,5.35,227,7.2,230,65,131,89,8.9,43,34,7.5
EYS20_19,N,77.03,0.09,12.48,1.48,0.02,0.03,0.55,3.28,5.05,221,7.1,233,63,124,92,9.6,41,35,8.0
EYS20_19_2,N,77.45,0.09,12.05,1.43,0.02,0.03,0.58,3.34,5.01,232,8.3,225,66,124,92,10.2,42,35,8.1
EYS20_2,N,76.59,0.09,12.36,1.42,0.02,0.03,0.55,3.60,5.35,229,6.4,227,63,125,85,9.1,38,30,8.3
EYS20_20,N,76.72,0.09,12.48,1.32,0.02,0.03,0.56,3.68,5.10,223,7.5,232,62,136,93,8.1,38,34,7.9
EYS20_21,N,76.86,0.09,12.35,1.41,0.02,0.03,0.51,3.47,5.26,217,6.7,226,65,125,89,6.7,37,31,7.5
EYS20_22_2,N,77.07,0.08,12.32,1.40,0.02,0.03,0.59,3.41,5.08,227,6.4,221,65,129,93,9.2,41,35,8.0
EYS20_25,N,77.63,0.09,12.13,1.34,0.02,0.03,0.55,3.23,4.98,227,6.4,236,62,127,93,8.4,39,34,7.1
EYS20_26,N,77.14,0.09,12.42,1.35,0.02,0.03,0.55,3.32,5.09,221,7.4,229,62,131,85,7.6,40,32,7.3
EYS20_26_2,N,77.20,0.09,12.33,1.39,0.02,0.03,0.57,3.26,5.11,225,7.8,222,66,130,90,7.9,41,34,7.6
EYS20_28,N,77.06,0.09,12.43,1.30,0.02,0.03,0.52,3.46,5.10,212,6.5,222,63,118,89,7.9,37,32,7.4
EYS20_29,N,77.22,0.09,12.11,1.39,0.02,0.03,0.53,3.43,5.19,217,7.8,227,64,123,92,7.7,39,31,7.5
EYS20_3,N,76.92,0.09,12.39,1.40,0.02,0.03,0.55,3.53,5.08,229,8.7,229,63,120,84,7.8,38,34,7.2
EYS20_30,N,76.69,0.09,12.41,1.32,0.02,0.03,0.56,3.62,5.25,214,6.9,234,64,130,94,8.2,38,32,7.0
EYS20_30_2,N,77.21,0.09,12.15,1.31,0.02,0.03,0.53,3.57,5.09,229,6.7,228,65,124,98,8.8,41,36,7.8
EYS20_31,N,77.11,0.08,12.24,1.34,0.02,0.03,0.52,3.43,5.22,216,7.5,227,63,120,90,8.4,40,31,7.5
EYS20_32,N,77.79,0.08,12.13,1.31,0.02,0.03,0.53,3.26,4.85,213,7.3,231,59,130,92,9.4,38,31,7.3
EYS20_32_2,N,77.45,0.09,11.92,1.34,0.02,0.03,0.55,3.62,4.98,231,7.8,224,61,130,88,8.5,41,34,7.5
EYS20_34,N,77.55,0.08,12.05,1.40,0.02,0.03,0.54,3.17,5.15,209,7.1,217,58,115,87,8.9,36,32,7.5
EYS20_35,N,76.93,0.08,12.34,1.34,0.02,0.03,0.53,3.65,5.07,219,7.4,237,63,113,92,8.7,44,34,9.0
EYS20_37,N,77.69,0.09,12.15,1.29,0.02,0.03,0.53,3.14,5.06,223,6.7,229,64,116,89,8.4,44,33,7.8
EYS20_38,N,77.23,0.09,12.34,1.31,0.02,0.03,0.53,3.37,5.07,221,7.4,232,64,127,88,9.6,41,34,8.1
EYS20_40,N,77.19,0.09,12.53,1.37,0.02,0.03,0.55,3.27,4.96,217,6.3,219,59,111,86,8.6,39,31,7.6
EYS20_41,N,77.14,0.09,12.30,1.35,0.02,0.03,0.56,3.60,4.92,220,5.8,235,63,135,90,8.2,40,32,7.3
EYS20_41_2,N,77.21,0.08,12.25,1.40,0.02,0.03,0.52,3.44,5.04,220,6.6,216,61,122,88,9.4,44,32,7.4
EYS20_48,N,76.96,0.08,12.32,1.39,0.02,0.03,0.56,3.46,5.17,225,7.3,234,64,111,88,8.1,38,29,6.8
EYS20_5,N,77.13,0.09,12.39,1.44,0.02,0.03,0.53,3.28,5.08,223,5.9,227,62,120,85,8.7,39,31,7.4
EYS20_5_2,N,77.24,0.08,12.31,1.41,0.02,0.03,0.55,3.32,5.04,228,7.5,224,63,133,95,9.5,43,34,7.9
EYS20_51,N,76.93,0.09,12.48,1.40,0.02,0.03,0.54,3.48,5.03,222,6.3,224,64,109,79,10.5,36,33,7.3
EYS20_51_2,N,76.96,0.08,12.33,1.35,0.02,0.03,0.51,3.64,5.08,213,6.7,216,59,123,81,8.5,38,30,7.3
EYS20_52_2,N,77.26,0.09,12.04,1.39,0.02,0.03,0.55,3.62,5.00,224,6.3,231,64,128,96,10.0,39,36,7.6
EYS20_6,N,77.13,0.08,12.17,1.50,0.02,0.03,0.53,3.35,5.18,222,6.7,225,64,127,89,8.1,36,31,7.1
EYS20_6_2,N,77.25,0.08,12.26,1.39,0.02,0.03,0.55,3.41,5.01,224,6.3,215,62,121,90,7.9,38,34,7.8
EYS20_61,N,77.20,0.09,12.38,1.37,0.02,0.03,0.52,3.35,5.04,225,6.4,218,63,117,87,10.2,43,33,7.6
EYS20_61_2,N,77.30,0.09,12.32,1.34,0.02,0.03,0.56,3.35,4.99,227,7.1,219,62,123,88,8.9,41,35,8.2
EYS20_63,N,76.90,0.09,12.30,1.37,0.02,0.03,0.53,3.61,5.15,221,6.7,218,60,125,88,8.1,42,33,7.6
EYS20_63_2,N,77.09,0.08,12.33,1.37,0.02,0.03,0.55,3.44,5.10,219,7.4,221,64,122,91,8.2,41,33,7.8
EYS20_66,N,76.96,0.09,12.33,1.43,0.02,0.03,0.57,3.47,5.11,211,6.1,217,63,127,84,7.5,42,32,7.7
EYS20_66_2,N,76.97,0.09,12.28,1.34,0.02,0.03,0.54,3.55,5.17,224,5.8,222,62,127,89,7.1,40,32,7.2
EYS20_68,N,77.16,0.09,12.29,1.40,0.02,0.03,0.58,3.29,5.14,221,8.2,202,60,129,89,7.3,39,31,7.6
EYS20_7,N,77.00,0.09,12.40,1.40,0.02,0.03,0.60,3.37,5.11,215,5.6,217,59,114,85,9.1,40,33,7.5
EYS20_71,N,76.63,0.08,12.54,1.37,0.02,0.03,0.53,3.57,5.22,218,5.7,225,62,122,87,7.6,38,28,7.0
EYS20_71_2,N,76.98,0.08,12.37,1.44,0.02,0.03,0.52,3.41,5.14,212,7.4,227,61,120,93,8.0,40,34,7.7
EYS20_74,N,77.09,0.09,12.12,1.32,0.02,0.03,0.55,3.68,5.11,223,5.9,214,64,121,89,8.1,42,31,8.0
EYS20_75,N,76.83,0.09,12.49,1.41,0.02,0.03,0.55,3.63,4.96,221,7.0,216,64,136,88,8.8,43,35,8.2
EYS20_75_2,N,76.97,0.09,12.36,1.42,0.02,0.03,0.54,3.51,5.07,218,6.6,223,62,127,90,8.7,42,35,7.5
EYS20_8,N,77.38,0.08,12.17,1.32,0.02,0.03,0.54,3.38,5.08,215,7.4,215,61,130,88,8.7,38,33,8.3
EYS20_87,N,77.67,0.09,12.09,1.41,0.02,0.03,0.52,3.16,5.01,221,6.5,217,65,126,84,6.8,37,28,6.6
EYS20_9,N,76.92,0.08,12.39,1.38,0.02,0.03,0.55,3.43,5.20,213,6.2,211,59,115,86,8.6,40,33,7.5
EYS20_9_2,N,77.10,0.09,12.38,1.34,0.02,0.03,0.56,3.38,5.10,217,5.1,224,62,127,87,8.5,41,32,7.6
EYS22_1,O,76.81,0.09,12.63,1.43,0.02,0.03,0.55,3.43,5.01,225,6.5,206,60,115,82,6.8,40,31,7.2
EYS22_10,O,76.68,0.08,12.45,1.36,0.02,0.03,0.56,3.66,5.16,218,5.8,216,61,113,88,7.9,42,31,7.6
EYS22_11,O,77.19,0.08,12.28,1.41,0.02,0.03,0.55,3.43,5.02,221,8.1,228,65,134,94,8.2,41,33,7.7
EYS22_12,O,77.27,0.09,12.27,1.36,0.02,0.03,0.55,3.24,5.18,223,6.7,207,63,119,81,11.0,42,34,8.4
EYS22_13,O,77.15,0.09,12.31,1.43,0.02,0.03,0.55,3.35,5.08,217,6.2,209,61,108,84,7.8,43,31,8.2
EYS22_17,O,77.35,0.08,12.34,1.42,0.02,0.03,0.56,3.19,5.01,222,6.2,215,61,123,83,8.9,42,30,8.2
EYS22_18,O,77.16,0.08,12.35,1.41,0.02,0.03,0.54,3.19,5.21,226,7.0,214,60,124,85,8.4,42,33,8.1
EYS22_19,O,77.23,0.09,12.34,1.39,0.02,0.03,0.56,3.27,5.07,235,7.6,227,63,134,93,8.8,42,33,8.4
EYS22_2,O,77.06,0.09,12.49,1.38,0.02,0.03,0.52,3.38,5.03,225,5.8,201,63,111,80,7.9,40,29,7.3
EYS22_20,O,77.21,0.08,12.51,1.38,0.02,0.03,0.55,3.19,5.02,225,6.2,209,62,121,80,8.2,42,32,8.3
EYS22_21,O,77.29,0.09,12.46,1.26,0.02,0.03,0.51,3.25,5.09,219,6.5,204,62,119,83,9.0,38,29,9.3
EYS22_22,O,77.16,0.09,12.37,1.41,0.02,0.03,0.53,3.28,5.11,223,6.7,229,61,120,91,8.5,43,31,7.2
EYS22_22_2,O,77.00,0.09,12.56,1.36,0.02,0.03,0.55,3.28,5.12,221,6.9,216,60,114,86,8.7,41,32,8.7
EYS22_23,O,77.04,0.09,12.18,1.44,0.02,0.03,0.56,3.58,5.06,221,6.6,209,61,135,86,7.5,40,30,7.5
EYS22_26,O,76.71,0.08,12.43,1.45,0.02,0.03,0.55,3.56,5.17,219,6.5,199,58,106,79,7.6,41,32,7.8
EYS22_27,O,76.90,0.08,12.56,1.30,0.02,0.03,0.55,3.45,5.12,216,6.2,211,60,118,86,9.1,40,32,7.4
EYS22_29,O,77.09,0.09,12.30,1.42,0.02,0.03,0.55,3.29,5.20,222,7.0,220,60,132,88,7.8,42,30,7.9
EYS22_29_2,O,77.32,0.09,12.35,1.36,0.02,0.03,0.53,3.30,5.01,227,5.7,211,62,129,86,8.8,40,33,7.9
EYS22_3,O,76.93,0.08,12.34,1.41,0.02,0.03,0.56,3.50,5.13,216,6.8,210,61,121,89,9.9,41,30,7.4
EYS22_30,O,77.07,0.09,12.38,1.42,0.02,0.03,0.54,3.33,5.11,219,6.4,216,62,118,88,9.6,41,31,7.6
EYS22_31,O,77.13,0.09,12.28,1.44,0.02,0.02,0.56,3.44,5.02,225,6.7,215,60,120,87,9.4,39,33,9.1
EYS22_33,O,77.08,0.09,12.60,1.46,0.02,0.03,0.50,3.16,5.07,219,7.8,215,61,130,88,9.4,43,34,8.4
EYS22_34,O,77.10,0.09,12.53,1.31,0.02,0.03,0.59,3.48,4.85,220,6.8,212,62,119,83,9.3,41,30,8.4
EYS22_35,O,76.85,0.09,12.52,1.31,0.02,0.02,0.53,3.45,5.21,218,6.2,219,60,121,88,7.9,41,33,7.7
EYS22_38,O,77.46,0.09,11.89,1.30,0.02,0.03,0.54,3.60,5.06,217,6.2,214,60,112,84,8.4,41,30,7.4
EYS22_4,O,76.67,0.08,12.84,1.47,0.02,0.03,0.55,3.22,5.12,213,6.1,215,59,122,84,8.3,40,32,8.2
EYS22_42,O,76.99,0.08,12.62,1.37,0.02,0.03,0.54,3.38,4.97,225,6.3,220,62,129,85,7.4,41,30,7.3
EYS22_43,O,76.75,0.08,12.57,1.35,0.02,0.03,0.55,3.51,5.13,220,5.7,218,60,108,87,8.5,42,30,7.9
EYS22_49,O,77.29,0.08,12.32,1.47,0.02,0.03,0.56,3.29,4.95,221,6.8,216,61,116,88,7.5,44,31,7.4
EYS22_5,O,76.88,0.09,12.53,1.44,0.02,0.02,0.55,3.38,5.09,218,6.6,216,60,122,85,9.5,45,32,7.7
EYS22_51,O,76.99,0.08,12.40,1.41,0.02,0.03,0.54,3.44,5.10,230,6.4,227,64,131,93,8.3,40,30,7.5
EYS22_53,O,77.05,0.08,12.30,1.46,0.02,0.03,0.55,3.34,5.16,218,6.0,221,62,122,87,8.9,41,30,7.6
EYS22_53_2,O,77.02,0.09,12.38,1.40,0.02,0.03,0.56,3.26,5.24,215,6.4,208,60,109,83,8.1,42,33,7.4
EYS22_55,O,77.04,0.09,12.47,1.37,0.02,0.03,0.57,3.29,5.12,222,7.3,220,61,125,86,7.2,42,29,7.5
EYS22_56,O,77.38,0.09,12.42,1.41,0.02,0.03,0.55,3.13,4.98,217,6.6,208,62,112,80,6.7,40,28,7.6
EYS22_58,O,77.08,0.09,12.38,1.42,0.02,0.03,0.54,3.28,5.15,210,6.5,192,58,113,77,7.2,41,28,7.1
EYS22_6,O,77.10,0.09,12.39,1.39,0.02,0.03,0.53,3.28,5.17,220,6.3,218,65,114,87,8.4,41,32,7.2
EYS22_6_2,O,77.02,0.09,12.28,1.46,0.02,0.03,0.51,3.57,5.03,220,6.1,212,59,112,89,8.4,42,32,7.9
EYS22_61,O,77.34,0.09,12.22,1.36,0.02,0.03,0.57,3.29,5.07,219,6.3,208,61,115,83,9.6,41,32,7.9
EYS22_62,O,77.38,0.08,12.29,1.28,0.02,0.03,0.52,3.36,5.04,223,6.0,211,61,107,84,,,,
EYS22_66,O,77.07,0.09,12.23,1.39,0.02,0.03,0.54,3.47,5.16,222,6.7,205,59,110,79,8.0,41,31,7.9
EYS22_66_2,O,77.31,0.09,12.20,1.37,0.02,0.03,0.54,3.27,5.17,225,5.7,207,59,126,83,6.6,41,28,7.1
EYS22_7,O,77.51,0.09,12.27,1.38,0.02,0.03,0.52,3.27,4.90,225,6.2,218,61,113,88,8.3,41,32,7.5
EYS22_8,O,77.19,0.08,12.19,1.40,0.02,0.03,0.55,3.58,4.96,223,6.9,220,64,128,87,7.9,44,31,8.0
EYS23_1,P,77.15,0.09,12.09,1.42,0.02,0.03,0.60,3.37,5.24,223,7.2,228,62,120,89,9.2,40,35,7.5
EYS23_10,P,76.97,0.08,12.32,1.47,0.02,0.03,0.58,3.35,5.18,224,6.9,245,65,124,94,7.8,40,30,7.7
EYS23_11,P,76.78,0.09,12.20,1.51,0.02,0.03,0.59,3.41,5.37,223,6.9,238,67,112,90,8.8,39,32,6.5
EYS23_11_2,P,77.31,0.08,12.23,1.38,0.02,0.03,0.57,3.40,4.97,217,6.9,233,62,115,89,8.8,40,33,7.8
EYS23_14,P,77.21,0.09,12.26,1.44,0.02,0.03,0.54,3.36,5.07,227,6.2,237,68,124,96,10.0,39,36,8.5
EYS23_15,P,77.33,0.09,12.30,1.43,0.02,0.03,0.55,3.24,5.02,230,5.6,231,64,114,88,7.4,38,32,7.1
EYS23_18,P,77.23,0.08,12.18,1.38,0.02,0.03,0.51,3.51,5.06,225,8.0,229,63,113,88,9.5,42,31,7.2
EYS23_18_2,P,77.21,0.09,12.24,1.28,0.02,0.03,0.56,3.66,4.90,214,6.9,217,63,124,93,7.9,40,34,7.4
EYS23_19,P,77.06,0.08,12.26,1.44,0.02,0.03,0.55,3.46,5.10,216,6.6,215,61,121,86,8.2,42,32,6.9
EYS23_19_2,P,77.02,0.09,12.22,1.40,0.02,0.03,0.57,3.49,5.16,220,7.1,224,61,130,89,8.9,39,32,7.7
EYS23_22,P,77.05,0.08,12.18,1.32,0.02,0.02,0.57,3.64,5.11,213,6.2,214,58,116,85,8.1,38,33,7.5
EYS23_23,P,77.21,0.09,12.08,1.33,0.02,0.03,0.56,3.47,5.21,214,6.2,218,60,118,92,9.8,43,38,8.1
EYS23_25,P,77.66,0.08,12.10,1.27,0.02,0.03,0.58,3.28,4.98,197,6.5,199,55,115,83,8.6,43,32,7.7
EYS23_26,P,77.01,0.08,12.30,1.42,0.02,0.03,0.56,3.39,5.19,194,7.1,199,54,114,82,9.1,40,35,7.5
EYS23_28,P,76.94,0.09,12.50,1.38,0.02,0.03,0.56,3.50,4.98,201,7.3,199,57,114,82,10.3,43,32,7.7
EYS23_3,P,77.13,0.08,12.54,1.34,0.02,0.03,0.57,3.21,5.08,237,6.4,241,71,135,92,7.9,38,33,6.9
EYS23_3_2,P,77.30,0.08,12.06,1.41,0.02,0.03,0.55,3.45,5.11,224,6.9,238,65,124,90,8.9,42,34,7.5
EYS23_30,P,77.05,0.09,12.19,1.41,0.02,0.03,0.55,3.50,5.17,218,7.4,241,61,135,96,9.9,43,34,7.5
EYS23_31,P,77.55,0.09,12.29,1.36,0.02,0.03,0.54,3.16,4.97,216,7.8,232,64,124,95,8.5,39,33,7.8
EYS23_33,P,76.45,0.08,12.39,1.52,0.02,0.03,0.58,3.52,5.40,215,6.2,231,63,118,91,9.1,41,36,8.8
EYS23_34,P,77.07,0.09,12.32,1.33,0.02,0.03,0.58,3.48,5.07,215,8.1,232,62,128,90,8.1,38,32,7.3
EYS23_34_2,P,77.34,0.08,12.17,1.36,0.02,0.03,0.55,3.42,5.02,218,7.4,219,65,131,86,8.1,43,34,7.9
EYS23_37,P,76.57,0.09,12.59,1.39,0.02,0.03,0.55,3.49,5.27,214,6.2,227,63,124,92,10.0,39,33,7.3
EYS23_37_2,P,77.28,0.09,12.29,1.43,0.02,0.03,0.57,3.18,5.10,216,6.8,228,61,124,92,9.9,42,32,7.4
EYS23_4,P,77.11,0.08,12.19,1.36,0.02,0.03,0.57,3.45,5.19,224,7.5,241,67,126,94,9.8,41,30,7.5
EYS23_4_2,P,76.86,0.08,12.51,1.38,0.02,0.03,0.59,3.28,5.25,227,8.4,228,63,124,93,8.0,38,35,7.8
EYS23_40,P,77.27,0.09,11.99,1.30,0.02,0.03,0.55,3.49,5.26,212,6.0,227,63,118,90,8.0,40,31,7.0
EYS23_41,P,76.71,0.08,12.32,1.45,0.02,0.03,0.55,3.71,5.13,211,8.0,219,60,106,85,7.8,38,34,7.6
EYS23_44,P,77.34,0.08,12.20,1.35,0.02,0.03,0.56,3.50,4.91,209,6.1,225,60,114,88,7.9,38,30,7.0
EYS23_44_2,P,77.29,0.09,12.27,1.36,0.02,0.03,0.55,3.37,5.02,223,6.4,238,61,133,93,10.3,40,33,7.6
EYS23_45,P,77.70,0.08,11.79,1.44,0.02,0.03,0.54,3.36,5.04,221,6.6,244,66,118,95,8.6,42,33,7.9
EYS23_48,P,76.87,0.08,12.40,1.39,0.02,0.03,0.53,3.59,5.10,219,7.0,220,62,130,87,8.5,39,31,7.3
EYS23_48_2,P,76.91,0.08,12.40,1.47,0.02,0.03,0.58,3.40,5.12,218,7.0,242,64,144,95,9.8,41,37,8.4
