Analysis,Horizon,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Rb,Sr,Zr,Nb,Ba,La,Yb,Pb,Th,U
EYS8_10_2,D,76.64,0.08,12.60,1.35,0.02,0.03,0.56,3.48,5.22,229,3.1,210,65,48,75,8.5,45,38,8.7
EYS8_12,D,77.24,0.08,12.36,1.30,0.02,0.03,0.54,3.43,4.99,229,3.7,214,66,56,77,10.5,42,34,8.6
EYS8_13,D,76.94,0.08,12.31,1.32,0.02,0.03,0.55,3.53,5.22,254,3.6,230,69,48,85,10.9,45,35,8.3
EYS8_2,D,77.07,0.08,12.47,1.39,0.02,0.02,0.52,3.36,5.06,243,3.9,211,66,39,80,9.0,43,34,8.5
EYS8_22,D,76.76,0.08,12.43,1.42,0.02,0.03,0.58,3.49,5.20,213,7.0,216,62,136,89,8.9,39,34,7.2
EYS8_22_2,D,77.10,0.08,12.13,1.41,0.02,0.03,0.58,3.35,5.30,223,6.4,228,60,135,93,8.1,40,33,7.4
EYS8_23,D,77.23,0.08,12.29,1.25,0.02,0.03,0.52,3.56,5.01,256,3.5,237,75,49,84,10.3,45,40,9.4
EYS8_28_2,D,76.86,0.08,12.52,1.26,0.02,0.03,0.53,3.45,5.25,251,4.2,238,72,48,92,11.9,43,38,9.4
EYS8_3,D,76.76,0.08,12.46,1.31,0.02,0.03,0.54,3.53,5.28,237,3.3,202,66,49,77,8.7,44,32,8.8
EYS8_36,D,76.33,0.09,12.65,1.30,0.02,0.03,0.57,3.56,5.45,235,3.6,218,71,51,86,8.8,44,38,9.7
EYS8_36_2,D,77.05,0.08,12.10,1.33,0.02,0.03,0.52,3.80,5.07,233,3.1,228,68,48,84,10.4,43,35,8.3
EYS8_4,D,76.91,0.08,12.72,1.34,0.02,0.03,0.52,3.25,5.14,238,3.7,219,69,47,84,10.3,46,37,8.8
EYS8_5,D,76.34,0.09,12.60,1.31,0.02,0.03,0.58,3.86,5.17,201,6.7,210,59,129,85,7.1,38,29,7.6
EYS8_6,D,77.01,0.08,12.47,1.31,0.02,0.03,0.56,3.36,5.16,229,3.6,210,71,44,77,10.0,44,33,8.1
EYS8_6_2,D,76.99,0.08,12.40,1.31,0.02,0.03,0.54,3.76,4.85,236,3.3,217,69,43,82,8.8,42,37,8.7
EYS8_7,D,77.07,0.08,12.09,1.34,0.02,0.03,0.58,3.43,5.35,204,6.5,216,62,128,87,7.2,38,31,7.3
EYS8_9,D,76.68,0.08,12.63,1.33,0.02,0.03,0.56,3.55,5.12,238,3.7,203,63,48,75,8.9,42,34,9.2
EYS9_1,E,77.41,0.09,12.20,1.30,0.02,0.03,0.57,3.24,5.15,226,6.8,217,64,136,85,7.5,39,31,7.5
EYS9_11,E,77.30,0.08,12.12,1.34,0.02,0.03,0.54,3.32,5.25,232,3.3,207,64,45,74,8.2,40,35,8.8
