Date,Temperature
19730817:0900,6.8
19730818:0900,6.9
19730819:0900,6.2
19730820:0900,7.4
19730821:0900,9.6
19730822:0900,6.1
19730823:0900,5.2
19730824:0900,5.9
19730825:0900,3.5
19730826:0900,5.9
19730827:0900,5.4
19730828:0900,9.4
19730829:0900,9.9
19730830:0900,9.2
19730831:0900,8.9
19730901:0900,8.5
19730902:0900,8.7
19730903:0900,8.2
19730904:0900,9.8
19730905:0900,8
19730906:0900,9
19730907:0900,10
19730908:0900,7.4
19730909:0900,6
19730910:0900,5.3
19730911:0900,9
19730912:0900,9
19730913:0900,9.4
19730914:0900,9.4
19730915:0900,11.5
19730916:0900,10.2
19730917:0900,9
19730918:0900,8.5
19730919:0900,10.4
19730920:0900,11.6
19730921:0900,11.5
19730922:0900,10.6
19730923:0900,10.3
19730924:0900,7.7
19730925:0900,8.1
19730926:0900,10.4
19730927:0900,12.5
19730928:0900,12.1
19730929:0900,12
19730930:0900,12.9
19731001:0900,12.6
19731002:0900,10
19731003:0900,9.3
19731004:0900,8.5
19731005:0900,8.9
19731006:0900,10.3
19731007:0900,12.1
19731008:0900,12.8
19731009:0900,13
19731010:0900,13.2
19731011:0900,12.5
19731012:0900,14
19731013:0900,13.9
19731014:0900,14.4
19731015:0900,13.6
19731016:0900,12.3
19731017:0900,10.4
19731018:0900,10
19731019:0900,11.5
19731020:0900,11.5
19731021:0900,14.1
19731022:0900,14.9
19731023:0900,13.8
19731024:0900,11
19731025:0900,8.7
19731026:0900,9.3
19731027:0900,11
19731028:0900,10.6
19731029:0900,11.3
19731030:0900,13.1
19731031:0900,14
19731101:0900,14.6
19731102:0900,13.8
19731103:0900,15.5
19731104:0900,16.1
19731105:0900,15
19731106:0900,16.2
19731107:0900,16
19731108:0900,15.9
19731109:0900,14.7
19731110:0900,13.9
19731111:0900,14
19731112:0900,14.3
19731113:0900,15
19731114:0900,14.8
19731115:0900,12.5
19731116:0900,13.2
19731117:0900,14.5
19731118:0900,15.3
19731119:0900,12.6
19731120:0900,12.7
19731121:0900,13.9
19731122:0900,12
19731123:0900,13.4
19731124:0900,14.5
19731125:0900,14.3
19731126:0900,14.8
19731127:0900,15
19731128:0900,14
19731129:0900,15.6
19731130:0900,16.2
19731201:0900,16
19731202:0900,16.9
19731203:0900,14
19731204:0900,16.7
19731205:0900,17.4
19731206:0900,17.9
19731207:0900,17.8
19731208:0900,18.8
19731209:0900,17.6
19731210:0900,15.8
19731211:0900,18.1
19731212:0900,17
19731213:0900,17.9
19731214:0900,18.8
19731215:0900,18.2
19731216:0900,19
19731217:0900,19.6
19731218:0900,18.8
19731219:0900,12.4
19731220:0900,12
19731221:0900,13.7
19731222:0900,14.4
19731223:0900,16
19731224:0900,18.9
19731225:0900,18.5
19731226:0900,17
19731227:0900,16.5
19731228:0900,15.6
19731229:0900,16
19731230:0900,18.5
19731231:0900,19.7
19740101:0900,18.8
19740102:0900,18.5
19740103:0900,16.8
19740104:0900,15.6
19740105:0900,15.2
19740106:0900,17.9
19740107:0900,18.8
19740108:0900,18.8
19740109:0900,16
19740110:0900,14.5
19740111:0900,14
19740112:0900,16.1
19740113:0900,15.9
19740114:0900,16.8
19740115:0900,18.3
19740116:0900,18
19740117:0900,17.5
19740118:0900,16.2
19740119:0900,18.5
19740120:0900,16
19740121:0900,17
19740122:0900,19.1
19740123:0900,19
19740124:0900,17.8
19740125:0900,15.6
19740126:0900,14.3
19740127:0900,16.7
19740128:0900,15.7
19740129:0900,18
19740130:0900,19
19740131:0900,19.1
19740201:0900,16.8
19740202:0900,20
19740203:0900,19.9
19740204:0900,19.9
19740205:0900,19
19740206:0900,18.8
19740207:0900,18.4
19740208:0900,19.8
19740209:0900,21
19740210:0900,20.3
19740211:0900,18.5
19740212:0900,18.5
19740213:0900,20.6
19740214:0900,21.6
19740215:0900,20.2
19740216:0900,15.1
19740217:0900,15.3
19740218:0900,15.5
19740219:0900,15.5
19740220:0900,17
19740221:0900,18.4
19740222:0900,15.3
19740223:0900,16.6
19740224:0900,17.1
19740225:0900,16.1
19740226:0900,17
19740227:0900,15.6
19740228:0900,16.9
19740301:0900,13.5
19740302:0900,12.6
19740303:0900,13.1
19740304:0900,13
19740305:0900,14.9
19740306:0900,15.6
19740307:0900,15.5
19740308:0900,15.1
19740309:0900,15.4
19740310:0900,16.9
19740311:0900,15.6
19740312:0900,15.7
19740313:0900,15.2
19740314:0900,16.9
19740315:0900,18.5
